word,count
i,11
the,10
my,9
you,8
in,7
one,7
and,6
s,6
to,6
your,6
love,5
no,5
about,4
it,4
cause,3
for,3
hands,3
just,3
let,3
of,3
so,3
sweater,3
t,3
that,3
a,2
away,2
blouse,2
both,2
but,2
cold,2
com,2
don,2
find,2
here,2
hold,2
holes,2
house,2
https,2
if,2
is,2
lyrsense,2
me,2
mouths,2
nothing,2
now,2
out,2
place,2
shirt,2
tell,2
think,2
too,2
touch,2
two,2
us,2
want,2
what,2
adore,1
adventure,1
all,1
am,1
an,1
beach,1
beats,1
breath,1
california,1
centered,1
clouds,1
coming,1
copyright,1
down,1
every,1
face,1
far,1
finger,1
goosebumps,1
gravity,1
guides,1
hand,1
hate,1
have,1
head,1
heart,1
hearts,1
high,1
inside,1
knows,1
left,1
little,1
ll,1
man,1
may,1
meets,1
mind,1
minds,1
minute,1
move,1
much,1
neck,1
neighbourhood_the,1
not,1
on,1
other,1
our,1
outside,1
pour,1
put,1
raise,1
sand,1
say,1
she,1
shorts,1
silence,1
sleeves,1
sometimes,1
stand,1
start,1
starts,1
sweater_weather,1
take,1
taste,1
then,1
there,1
these,1
this,1
those,1
toes,1
tongue,1
use,1
waist,1
waisted,1
wanna,1
warm,1
watch,1
we,1
with,1
world,1
wouldn,1
yours,1
оригинал,1
